,host,count,Name,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,Order,Family,Genus
72,Brassica rapa var. parachinensis,8,Brassica rapa var. parachinensis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Brassicales,Brassicaceae,Brassiceae,Brassica,Brassica rapa,Brassica rapa subsp. chinensis,NA,NA,NA,Brassicales,Brassicaceae,Brassica
73,Pinus lambertiana,8,Pinus lambertiana,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Strobus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
74,Prunis dulcis,8,Prunus dulcis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Rosales,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,NA,NA,NA,NA,Rosales,Rosaceae,Prunus
75,Quercus agrifolia,8,Quercus agrifolia,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fagales,Fagaceae,Quercus,NA,NA,NA,NA,NA,NA,Fagales,Fagaceae,Quercus
76,Populus deltoides,7,Populus deltoides,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Salicaceae,Saliceae,Populus,NA,NA,NA,NA,NA,Malpighiales,Salicaceae,Populus
77,Dryopteris sp.,6,Dryopteris,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Polypodiopsida,Polypodiidae,Polypodiales,Polypodiineae,Dryopteridaceae,Dryopteridoideae,Dryopteris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polypodiales,Polypodiineae,Dryopteris
78,Flaveria robusta,6,Flaveria robusta,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Asterales,Asteraceae,Asteroideae,Heliantheae alliance,Tageteae,Flaveria,NA,NA,NA,Asterales,Asteraceae,Flaveria
79,Flaveria trinervia,6,Flaveria trinervia,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Asterales,Asteraceae,Asteroideae,Heliantheae alliance,Tageteae,Flaveria,NA,NA,NA,Asterales,Asteraceae,Flaveria
80,Citrus unshiu Marcovitch cv. Owari,5,Citrus,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Sapindales,Rutaceae,Aurantioideae,Citrus,NA,NA,NA,NA,NA,Sapindales,Rutaceae,Citrus
81,Anthurium concinnatum,4,,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Alismatales,Araceae,Pothoideae,Potheae,Anthurium,NA,NA,NA,NA,NA,NA,NA,NA,Alismatales,Araceae,Anthurium
82,Fuscospora solandri,4,Fuscospora solandri,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fagales,Nothofagaceae,Fuscospora,NA,NA,NA,NA,NA,NA,Fagales,Nothofagaceae,Fuscospora
83,Ipomoea aquatica,4,Ipomoea aquatica,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Solanales,Convolvulaceae,Ipomoeeae,Ipomoea,NA,NA,NA,NA,NA,Solanales,Convolvulaceae,Ipomoea
84,Leaf,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Oreopanax sp.,4,Oreopanax,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Apiales,Apiineae,Araliaceae,Oreopanax,NA,NA,NA,NA,NA,Apiales,Araliaceae,Oreopanax
86,Pinus contorta,4,Pinus contorta,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
87,Pinus monophylla,4,Pinus monophylla,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Strobus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
88,Pinus sabiniana,4,Pinus sabiniana,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
89,Chrysanthemum x morifolium,3,Chrysanthemum x morifolium,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Asterales,Asteraceae,Asteroideae,Anthemideae,Artemisiinae,Chrysanthemum,NA,NA,NA,Asterales,Asteraceae,Chrysanthemum
90,Citrus x tangelo cv. Honeybell,3,Citrus,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Sapindales,Rutaceae,Aurantioideae,Citrus,NA,NA,NA,NA,NA,Sapindales,Rutaceae,Citrus
91,Picea glauca,3,Picea glauca,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Picea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Picea
92,Pinus echinata,3,Pinus echinata,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
93,Pinus morrisonicola,3,Pinus morrisonicola,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Strobus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
94,Quercus corrugata,3,Quercus corrugata,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fagales,Fagaceae,Quercus,NA,NA,NA,NA,NA,NA,Fagales,Fagaceae,Quercus
95,spinach,3,Spinacia,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,Caryophyllales,Chenopodiaceae,Chenopodioideae,Anserineae,NA,NA,NA,NA,NA,NA,NA,Caryophyllales,Chenopodiaceae,Spinacia
96,Thalassia testudinum,3,Thalassia testudinum,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Alismatales,Hydrocharitaceae,Thalassia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alismatales,Hydrocharitaceae,Thalassia
97,Thelypteris kunthii,3,Thelypteris kunthii,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Polypodiopsida,Polypodiidae,Polypodiales,Aspleniineae,Thelypteridaceae,Thelypteridoideae,Thelypteris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polypodiales,Thelypteridaceae,Thelypteris
98,Viburnum costaricanum,3,Viburnum costaricanum,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Dipsacales,Adoxaceae,Viburnum,NA,NA,NA,NA,NA,NA,Dipsacales,Adoxaceae,Viburnum
99,Alnus acuminata,2,Alnus acuminata,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fagales,Betulaceae,Alnus,NA,NA,NA,NA,NA,NA,Fagales,Betulaceae,Alnus
100,Clusia cf.salvinii,2,Clusia,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Clusiaceae,Clusieae,Clusia,NA,NA,NA,NA,NA,Malpighiales,Clusiaceae,Clusia
101,Clusia sp.,2,Clusia,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Clusiaceae,Clusieae,Clusia,NA,NA,NA,NA,NA,Malpighiales,Clusiaceae,Clusia
102,Comarostaphylis arbutoides,2,Comarostaphylis arbutoides,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,Ericales,Ericaceae,Arbutoideae,Comarostaphylis,NA,NA,NA,NA,NA,NA,Ericales,Ericaceae,Comarostaphylis
103,Conostegia sp.,2,Conostegia,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Myrtales,Melastomataceae,Melastomatoideae,Miconieae,Conostegia,NA,NA,NA,NA,Myrtales,Melastomataceae,Conostegia
104,Dendropanax querceti,2,Dendropanax querceti,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Apiales,Apiineae,Araliaceae,Dendropanax,NA,NA,NA,NA,NA,Apiales,Araliaceae,Dendropanax
105,Drimys granadensis,2,Drimys granadensis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Magnoliidae,Canellales,Winteraceae,Drimys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canellales,Winteraceae,Drimys
106,Erythroxylum havanense,2,Erythroxylum havanense,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Erythroxylaceae,Erythroxylum,NA,NA,NA,NA,NA,NA,Malpighiales,Erythroxylaceae,Erythroxylum
107,Fuscospora truncata,2,Fuscospora truncata,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fagales,Nothofagaceae,Fuscospora,NA,NA,NA,NA,NA,NA,Fagales,Nothofagaceae,Fuscospora
108,Geonoma cuneata,2,Geonoma cuneata,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Petrosaviidae,commelinids,Arecales,Arecaceae,Arecoideae,Geonomateae,Geonoma,NA,NA,NA,NA,NA,NA,Arecales,Arecaceae,Geonomateae
109,Guatteria amplifolia,2,Guatteria amplifolia,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Magnoliidae,Magnoliales,Annonaceae,Annonoideae,Guatterieae,Guatteria,NA,NA,NA,NA,NA,NA,NA,NA,Magnoliales,Annonaceae,Guatteria
110,Hirtella racemosa,2,Hirtella racemosa,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Chrysobalanaceae,Hirtella,NA,NA,NA,NA,NA,NA,Malpighiales,Chrysobalanaceae,Hirtella
111,Lacistema aggregatum,2,Lacistema aggregatum,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Lacistemataceae,Lacistema,NA,NA,NA,NA,NA,NA,Malpighiales,Lacistemataceae,Lacistema
112,Lopezia sp.,2,Lopezia,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Myrtales,Onagraceae,Onagroideae,Lopezieae,Lopezia,NA,NA,NA,NA,Myrtales,Onagraceae,Lopezia
113,Miconia sp.,2,Miconia,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Myrtales,Melastomataceae,Melastomatoideae,Miconieae,Miconia,NA,NA,NA,NA,Myrtales,Melastomataceae,Miconia
114,Montrichardia arborescens,2,Montrichardia arborescens,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Alismatales,Araceae,Aroideae,Montrichardia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alismatales,Araceae,Montrichardia
115,Mouriri myrtilloides,2,Mouriri myrtilloides,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Myrtales,Melastomataceae,Olisbeoideae,Mouriri,NA,NA,NA,NA,NA,Myrtales,Melastomataceae,Mouriri
116,Ouratea lucens,2,Ouratea lucens,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Ochnaceae,Ouratea,NA,NA,NA,NA,NA,NA,Malpighiales,Ochnaceae,Ouratea
117,Passiflora incarnata,2,Passiflora incarnata,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Passifloraceae,Passiflora,NA,NA,NA,NA,NA,NA,Malpighiales,Passifloraceae,Passiflora
118,Picramnia latifolia,2,Picramnia latifolia,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Picramniales,Picramniaceae,Picramnia,NA,NA,NA,NA,NA,NA,Picramniales,Picramniaceae,Picramnia
119,Pinus attenuata,2,Pinus attenuata,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
120,Pinus coulteri,2,Pinus coulteri,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
121,Pinus monticola,2,Pinus monticola,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Strobus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
122,Pinus rigida / Pinus echinata,2,Pinus,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,NA
123,Piper cf.urostachyum,2,Piper,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Magnoliidae,Piperales,Piperaceae,Piper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Piperales,Piperaceae,Piper
124,Prioria copaifera,2,Prioria copaifera,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Detarioideae,Detarieae,Prioria,NA,NA,NA,NA,Fabales,Fabaceae,Prioria
125,Psychotria sp.,2,Psychotria,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Gentianales,Rubiaceae,Rubioideae,Psychotrieae,Psychotria,NA,NA,NA,NA,Gentianales,Rubiaceae,Psychotria
126,Schefflera rodriguesiana,2,Schefflera rodriguesiana,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Apiales,Apiineae,Araliaceae,Schefflera,NA,NA,NA,NA,NA,Apiales,Araliaceae,Schefflera
127,Symphonia globulifera,2,Symphonia globulifera,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Clusiaceae,Symphonieae,Symphonia,NA,NA,NA,NA,NA,Malpighiales,Clusiaceae,Symphonia
128,Vaccinium consanguineum,2,Vaccinium consanguineum,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,Ericales,Ericaceae,Vaccinioideae,Vaccinieae,Vaccinium,NA,NA,NA,NA,NA,Ericales,Ericaceae,Vaccinium
129,Annona pittieri,1,Annona pittieri,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Magnoliidae,Magnoliales,Annonaceae,Annonoideae,Annoneae,Annona,NA,NA,NA,NA,NA,NA,NA,NA,Magnoliales,Annonaceae,Annona
130,Ardisia cf.compressa,1,Ardisia compressa,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,Ericales,Primulaceae,Ardisia,NA,NA,NA,NA,NA,NA,NA,Ericales,Primulaceae,Ardisia
131,Betula ermanii,1,Betula ermanii,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fagales,Betulaceae,Betula,NA,NA,NA,NA,NA,NA,Fagales,Betulaceae,Betula
132,Blakea cf.gracilis,1,Blakea gracilis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Myrtales,Melastomataceae,Melastomatoideae,Blakeeae,Blakea,NA,NA,NA,NA,Myrtales,Melastomataceae,Blakea
133,Blakea cf.storkii,1,Blakea storkii,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Myrtales,Melastomataceae,Melastomatoideae,Blakeeae,Blakea,NA,NA,NA,NA,Myrtales,Melastomataceae,Blakea
134,Blakea foliacea,1,Blakea foliacea,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Myrtales,Melastomataceae,Melastomatoideae,Blakeeae,Blakea,NA,NA,NA,NA,Myrtales,Melastomataceae,Blakea
135,Calanthe calanthoides,1,Calanthe calanthoides,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Petrosaviidae,Asparagales,Orchidaceae,Epidendroideae,Collabieae,Calanthe,NA,NA,NA,NA,NA,NA,NA,Asparagales,Orchidaceae,Calanthe
136,Calatola costaricensis,1,Calatola costaricensis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Metteniusales,Metteniusaceae,Calatola,NA,NA,NA,NA,NA,NA,Metteniusales,Metteniusaceae,Calatola
137,Cassipourea elliptica,1,Cassipourea elliptica,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Rhizophoraceae,Cassipourea,NA,NA,NA,NA,NA,NA,Malpighiales,Rhizophoraceae,Cassipourea
138,Chrysochlamys grandifolia,1,Chrysochlamys grandifolia,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Clusiaceae,Clusieae,Chrysochlamys,NA,NA,NA,NA,NA,Malpighiales,Clusiaceae,Chrysochlamys
139,Chrysochlamys sp.,1,Chrysochlamys,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Clusiaceae,Clusieae,Chrysochlamys,NA,NA,NA,NA,NA,Malpighiales,Clusiaceae,Chrysochlamys
,Chrysophyllum cainito,1,Chrysophyllum cainito,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,Ericales,Sapotaceae,Chrysophylloideae,Chrysophyllum,NA,NA,NA,NA,NA,NA,Ericales,Sapotaceae,Chrysophyllum
,Cinnamomum longipaniculatum,1,Cinnamomum longipaniculatum,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Magnoliidae,Laurales,Lauraceae,Cinnamomum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laurales,Lauraceae,Cinnamomum
